,S2Ctrl_7,WTCtrl_1,S2Ctrl_8,WTCtrl_2,S2Ctrl_9,WTCtrl_3,S2CYTO_10,WTCYTO_4,S2CYTO_11,WTCYTO_5,S2CYTO_12,WTCYTO_6
AC000036.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000041.1,4,8,7,8,9,9,5,9,4,6,14,6
AC000058.1,0,0,0,0,0,0,0,0,0,0,0,2
AC000061.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000067.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000068.1,0,12,4,9,4,4,0,8,0,4,0,0
AC000068.2,0,0,0,5,1,1,0,1,0,0,0,2
AC000068.3,0,0,0,0,0,0,0,0,0,0,0,0
AC000077.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000078.1,0,2,4,11,1,2,0,1,0,4,0,6
AC000081.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000089.1,93,51,49,119,28,20,11,20,13,40,14,16
AC000095.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000095.2,0,0,0,0,0,0,0,0,0,0,0,0
AC000099.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.2,0,0,0,0,0,0,0,0,0,0,0,0
AC000120.1,4,2,2,6,0,2,0,0,0,2,0,0
AC000120.2,0,0,0,3,0,0,0,5,2,0,0,0
AC000120.3,7,0,0,17,13,0,0,10,0,12,0,0
AC000123.1,7,6,0,13,0,7,0,13,0,0,0,5
AC000123.2,10,4,2,18,4,6,2,8,0,10,2,11
AC000123.3,81,126,51,121,134,141,53,154,16,29,88,102
AC000124.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000362.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000367.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000372.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000374.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000403.1,164,193,129,277,235,227,31,73,9,41,87,67
AC001226.1,5,0,2,4,0,2,0,0,0,2,0,0
AC001226.2,14,9,19,18,21,24,19,24,14,11,40,35
AC002044.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002044.2,0,0,0,1,0,0,0,0,0,0,0,0
AC002044.3,0,0,0,0,0,0,0,0,0,0,0,0
AC002056.1,13,4,7,17,7,7,3,10,3,6,7,6
AC002056.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002059.1,0,6,0,6,0,0,0,0,0,0,0,0
AC002059.2,3,0,4,11,4,8,0,8,4,0,0,5
AC002064.1,4,0,0,0,0,0,9,21,0,7,3,8
AC002064.2,0,0,0,1,0,0,6,14,0,3,4,5
AC002064.3,0,0,0,0,0,0,0,0,0,0,0,0
AC002066.1,12,0,7,26,0,0,0,0,4,0,4,4
AC002069.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002069.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002070.1,10,0,25,95,7,15,0,6,6,10,6,9
AC002074.1,42,18,75,150,50,41,20,79,24,39,11,43
