,S2Ctrl_7,WTCtrl_1,S2Ctrl_8,WTCtrl_2,S2Ctrl_9,WTCtrl_3,S2CYTO_10,WTCYTO_4,S2CYTO_11,WTCYTO_5,S2CYTO_12,WTCYTO_6
CD164L2,0,0,0,0,0,0,0,0,0,0,0,0
CD177,0,0,0,0,0,0,0,0,0,0,0,0
CD177P1,0,0,0,0,0,0,0,0,0,0,0,0
CD180,0,0,0,0,0,0,0,0,0,0,0,0
CD19,0,2,0,8,0,0,0,0,4,0,0,0
CD1A,0,0,0,0,0,0,0,0,0,0,0,0
CD1B,0,0,0,0,0,0,0,0,0,0,0,0
CD1C,0,0,0,0,0,0,0,0,0,0,0,0
CD1D,0,0,0,30,0,3,48,58,6,64,24,76
CD1E,0,0,0,0,0,0,0,0,0,0,0,0
CD2,0,0,0,0,0,0,0,0,0,0,0,0
CD200,380,472,1693,2657,2192,1835,640,1300,1905,2865,2965,1476
CD200R1,0,0,0,0,0,0,0,8,0,0,0,0
CD200R1L,0,0,0,0,0,0,0,0,0,0,0,0
CD207,0,0,0,0,0,0,0,0,0,0,0,0
CD209,0,2,0,2,0,0,0,6,0,0,0,0
CD22,30,49,4,53,10,22,0,2,0,0,1,1
CD226,22,14,23,39,30,23,16,44,12,36,60,73
CD24,18,37,269,50,340,399,0,8,20,3,14,37
CD244,0,0,0,0,0,0,0,0,0,0,0,0
CD247,0,0,0,0,0,0,0,0,0,0,0,0
CD248,10134,7145,11132,25129,18283,21356,1033,2452,687,969,3240,2526
CD24P1,0,0,0,0,0,0,0,0,0,0,0,0
CD24P2,0,0,0,0,0,0,0,0,0,0,0,0
CD24P4,0,0,3,1,2,6,0,0,1,0,0,0
CD27,3,14,7,54,12,11,3,9,0,7,0,5
CD27-AS1,420,314,555,1569,439,484,187,458,205,409,202,296
CD274,167,192,167,440,260,244,3214,9869,3555,5178,4795,3379
CD276,4411,3818,8196,17120,6271,6113,2036,4844,734,3034,1554,1687
CD28,4,0,2,6,8,4,0,0,0,0,0,0
CD2AP,1916,2057,1437,3107,3111,3667,3193,8521,2428,3511,9179,6295
CD2BP2,4894,4951,5743,13953,5229,5385,3580,8818,2636,5327,4557,4719
CD300A,0,0,0,12,0,0,0,0,0,0,0,0
CD300C,0,4,0,14,10,7,5,12,0,7,10,0
CD300E,0,0,0,0,0,0,6,4,0,4,0,0
CD300H,0,0,0,0,0,0,0,0,0,0,0,0
CD300LB,0,0,0,4,0,0,0,0,0,0,0,0
CD300LD,0,0,0,0,0,0,0,0,0,0,0,0
CD300LF,0,0,0,0,0,0,0,0,0,0,0,0
CD300LG,0,0,0,0,0,0,0,0,0,0,0,0
CD302,1090,950,699,2138,893,1030,289,633,142,290,406,376
CD320,2054,2472,2885,7396,2414,2454,861,2795,1483,1563,914,1236
CD33,0,0,0,6,0,0,0,0,6,3,0,8
CD34,8,6,10,32,18,18,11,27,29,35,56,77
CD36,0,6,14,49,18,13,4,4,0,2,5,0
CD37,34,19,11,27,12,9,0,14,0,4,12,3
CD38,0,0,0,45,0,0,193,315,1557,2047,608,811
CD3D,0,0,0,0,0,0,0,0,0,0,0,0
CD3E,0,0,0,0,0,0,0,0,0,0,0,0
CD3EAP,964,871,405,2025,883,532,385,651,124,252,336,552
CD3G,0,0,0,0,0,0,0,0,0,0,0,0
CD4,1154,1014,1097,3502,2037,2268,303,638,230,301,317,535
CD40,130,78,24,335,142,188,1061,1647,1227,2655,1311,2508
CD40LG,0,0,0,0,0,0,0,0,0,0,0,0
CD44,16911,14727,12036,34167,19159,21099,22088,47140,12964,25466,55485,34104
CD44-AS1,0,3,0,5,0,3,0,10,0,0,6,11
CD46,2705,2498,2755,8490,3370,3371,2068,5001,1981,2893,2249,3383
CD46P1,0,0,0,0,0,0,3,4,1,3,1,2
CD47,6117,4863,3898,10042,7357,7961,4651,14139,4650,7300,8739,8993
CD48,0,0,0,0,0,0,0,0,0,8,0,0
CD5,0,0,0,0,0,0,0,0,0,3,0,0
CD52,4,2,0,4,0,0,0,0,0,0,0,0
CD53,0,0,0,12,0,0,10,19,5,15,7,4
CD55,869,730,420,1839,605,594,1258,2080,1122,2639,2441,1996
CD58,461,417,428,1356,464,604,521,1323,492,690,1009,662
CD59,59040,58087,66860,160262,64811,71837,40914,90377,32098,55883,44453,47417
CD5L,0,0,0,0,0,0,0,0,0,6,0,0
CD6,0,0,0,0,0,0,0,0,2,0,0,2
CD63,36663,30986,46443,114692,42425,46247,26481,59273,28310,43529,34963,34240
CD68,2121,1407,2263,8268,4339,2602,788,1503,3222,5129,3492,3776
CD69,0,0,0,0,0,0,8,8,0,0,0,0
CD7,4,0,0,0,0,4,43,136,133,85,117,125
CD70,0,0,0,2,0,0,14,14,35,87,8,10
CD72,2,6,16,65,22,19,10,24,10,19,9,38
CD74,11042,7340,11445,39580,5681,8381,60769,132837,68560,134455,81424,85657
CD79A,0,0,7,27,16,9,0,0,0,7,4,0
CD79B,0,2,0,0,0,3,0,0,0,0,0,0
CD80,4,0,13,24,27,8,2,4,13,10,20,6
CD81,13748,12863,19213,51505,15724,16159,8660,21069,10992,16261,9194,11537
CD81-AS1,9,4,5,15,23,12,0,4,0,2,6,4
CD82,1303,899,2206,5423,1424,1593,8736,15107,12646,25746,11303,15761
CD83,222,131,76,431,196,271,797,2304,2218,3421,2411,2753
CD83P1,0,0,0,0,0,0,0,0,0,0,0,0
CD84,0,2,0,4,0,0,0,0,0,0,0,2
CD86,0,0,0,0,0,0,0,0,0,3,0,0
CD8A,0,0,0,0,0,0,0,0,0,0,0,0
CD8B,0,0,0,0,0,0,0,0,0,0,0,0
CD8B2,0,0,0,0,0,0,0,0,0,0,0,0
CD9,3267,2998,4390,12846,2676,3172,663,1733,1010,1732,1157,819
CD93,6,32,0,17,0,12,33,94,20,24,31,30
CD96,4,16,23,90,10,20,2,8,4,10,8,0
CD99,16704,16477,28970,59841,19434,20807,8769,23362,11179,12646,19082,13105
CD99L2,3649,5236,2284,9525,3319,6113,2525,6074,2448,2980,4505,4315
CD99P1,216,267,230,542,96,107,128,398,136,205,100,117
CDA,239,135,216,658,221,301,438,700,159,292,822,1021
CDADC1,339,362,346,1071,408,530,193,387,175,297,302,372
CDAN1,625,90,315,435,148,122,223,27,239,38,412,49
CDC123,5135,5166,4006,12499,4886,5383,3465,8923,2298,4429,5282,4806
CDC14A,198,204,136,376,148,298,100,243,46,111,214,232
CDC14B,876,814,810,2093,896,1177,411,896,225,391,533,577
CDC14C,2,4,3,9,2,1,1,1,1,1,1,2
CDC16,4315,2578,2886,6682,4477,5200,1961,4655,1871,2044,3731,3629
CDC20,9406,8089,5123,18444,6654,7552,354,822,73,412,358,430
CDC20B,4,4,9,10,0,0,2,2,0,0,0,0
CDC20P1,558,489,18,37,16,15,26,56,9,0,2,3
CDC23,2374,2612,2000,5278,2145,2658,1105,2721,766,1545,1950,1740
CDC25A,300,189,56,198,209,165,195,153,94,375,166,142
CDC25B,5534,3934,6096,13215,5509,5897,673,1739,1154,2160,1850,2296
CDC25C,1029,791,638,1796,731,683,58,103,10,47,52,67
CDC26,969,963,1057,3320,1284,1497,1090,2783,1289,1974,2648,2121
CDC27,8187,9660,4869,10771,7073,10275,4414,11427,2272,4304,9797,6486
CDC27P1,78,67,32,73,49,78,22,85,12,28,134,55
CDC27P2,4,3,1,4,2,0,0,1,2,0,1,2
CDC27P3,5,2,1,6,3,0,1,3,1,1,4,1
CDC34,894,648,1628,3539,1073,1073,506,2315,483,904,794,891
CDC37,5471,5358,8715,16753,5641,5924,4492,11568,3949,8064,6614,5605
CDC37L1,695,819,774,2392,1076,1134,531,1397,376,728,1026,809
CDC37L1-DT,18,8,19,122,19,18,4,25,7,9,0,8
CDC37P1,0,0,0,0,0,0,0,3,0,0,0,0
CDC37P2,0,0,0,2,0,0,0,1,0,0,0,0
CDC40,1139,1173,1278,2599,1908,1359,1008,3706,856,1698,1671,1662
CDC42,14853,13914,13758,38543,21046,17800,10653,21610,6694,1433,16648,15147
CDC42-IT1,0,0,0,0,0,0,0,0,0,0,0,0
CDC42BPA,6384,7815,4836,9017,7537,7954,4705,13164,2245,3795,9521,7086
CDC42BPB,9181,8237,7534,20376,10753,9548,6490,14853,4811,6950,11333,9629
CDC42BPG,13,14,33,111,7,39,10,20,4,29,10,3
CDC42EP1,4649,3832,4405,9558,643,4400,2102,5481,1474,3174,2959,2866
CDC42EP2,1775,1294,1431,3258,1483,1182,2543,5733,2025,4338,2216,2905
CDC42EP3,15442,15648,11175,17481,16083,18079,2664,7040,2026,1598,5668,3292
CDC42EP3P1,0,0,1,1,2,0,0,0,0,0,0,0
CDC42EP4,4174,3706,2848,8611,3313,4285,2057,4857,1216,2947,1937,2386
CDC42EP5,216,149,147,441,464,414,151,288,63,104,190,279
CDC42P1,1,1,0,0,0,0,0,2,1,2,0,0
CDC42P2,0,0,0,0,0,0,0,0,0,0,0,0
CDC42P3,0,0,1,0,0,0,0,0,0,0,0,0
CDC42P4,0,0,0,9,0,1,0,0,0,1,0,0
CDC42P5,6,0,0,4,0,0,0,0,0,0,0,0
CDC42P6,187,157,106,376,117,119,74,170,49,73,101,75
CDC42SE1,2429,2627,3944,7280,4244,4265,3101,8128,2269,4484,6625,7043
CDC42SE2,171,252,60,142,274,529,641,1915,131,1186,3991,3805
CDC45,2194,2107,1334,4791,1775,1820,396,798,76,315,435,412
CDC5L,5638,5893,4035,10006,6012,6895,2548,6931,1499,2986,5646,4539
CDC6,3749,3056,1937,5656,3096,3596,1073,1575,205,620,1044,768
CDC7,934,873,679,2219,836,1102,140,400,274,396,411,409
CDC73,2925,3011,2395,4504,3704,2848,2689,7263,1854,2435,5688,3484
CDCA2,2810,2712,1099,4256,1971,3156,262,616,165,261,422,275
CDCA3,2132,1712,1101,3454,1059,1235,93,195,51,103,50,82
CDCA4,3911,3412,2302,7520,2424,2708,667,1536,271,832,631,691
CDCA4P1,0,0,0,2,0,4,0,5,0,1,0,2
CDCA4P2,0,0,0,0,0,0,0,0,0,0,0,0
CDCA4P3,0,0,0,0,0,0,0,0,0,0,0,0
CDCA4P4,1,0,8,2,0,0,0,1,2,0,0,0
CDCA5,3686,3386,2285,7489,3275,3552,431,1041,98,377,474,459
CDCA7,779,873,283,955,461,719,176,454,24,136,238,272
CDCA7L,2376,1970,661,3771,1531,1647,601,2078,261,479,1218,631
CDCA8,5985,5533,2700,9930,3956,4394,316,770,61,279,279,337
CDCP1,13536,15913,10035,28866,9162,8542,31467,78907,19784,8913,45434,38937
CDCP2,0,0,0,0,0,0,0,0,0,0,0,0
CDH1,15,14,3,11,16,22,0,0,0,5,6,8
CDH10,0,0,4,0,0,2,0,0,0,0,0,0
CDH11,17787,16827,29432,49651,42087,34646,12313,34952,9928,14936,24575,20549
CDH12,0,0,0,0,0,0,0,0,0,0,0,0
CDH12P1,4,2,1,14,10,9,1,2,0,2,2,3
CDH12P2,4,2,1,14,11,9,1,2,0,2,2,3
CDH12P3,4,2,1,14,10,9,1,2,0,2,2,3
CDH12P4,2,1,1,8,5,5,0,0,0,1,1,1
CDH13,1214,1940,2613,11240,2994,3055,1915,5526,1756,5122,2166,2219
CDH15,40,20,40,204,75,140,31,94,35,67,24,48
CDH16,0,0,2,0,0,0,0,0,0,0,2,0
CDH17,4,10,48,71,3,3,0,0,1,4,0,0
CDH18,0,0,0,0,0,2,0,0,0,0,0,0
CDH18-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CDH19,0,0,0,0,0,0,0,0,0,0,0,0
CDH2,4983,5672,13516,21056,10095,7955,3559,11487,8210,9970,11457,7380
CDH20,15,8,20,22,10,4,6,18,1,9,2,0
CDH22,0,0,0,0,0,2,0,0,0,0,0,0
CDH23,2,2,0,50,1,10,6,17,3,19,6,35
CDH23-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CDH24,500,550,685,1929,536,594,29,143,201,304,178,198
CDH26,0,3,7,24,0,4,0,0,0,3,0,4
CDH3,4,0,10,6,20,10,4,2,7,3,0,0
CDH4,402,506,484,277,221,65,89,449,153,74,123,42
CDH5,0,2,0,0,0,0,0,0,0,0,0,0
CDH6,5526,4917,4056,4489,3071,2835,550,1375,484,387,698,391
CDH7,0,0,0,0,0,0,0,0,0,0,0,0
CDH8,0,0,0,0,0,0,0,0,0,0,1,0
CDH9,0,0,0,0,0,0,0,0,0,0,0,0
CDHR1,0,2,0,0,0,0,0,2,0,0,0,0
CDHR2,24,17,5,28,11,15,2,8,0,3,2,4
CDHR3,69,63,59,266,57,83,9,6,0,0,4,6
CDHR4,0,0,0,14,0,0,0,0,0,0,0,0
CDHR5,0,0,0,3,4,0,0,0,0,0,0,2
CDIP1,1203,998,1290,4093,1265,1358,563,976,653,980,624,849
CDIPT,1571,1365,2293,5588,1803,1791,2027,3149,1291,2295,1398,1676
CDIPTOSP,4,3,5,16,0,0,0,0,3,3,0,0
CDK1,5671,4435,3409,4849,4687,6982,474,1183,144,551,467,705
CDK10,1005,992,1276,4182,719,921,443,1085,260,836,568,660
CDK11A,1307,1029,1237,2756,1238,1295,659,1681,539,1043,1357,1112
CDK11B,1477,1275,1536,3037,1582,2010,610,2165,1118,2259,2023,1294
CDK12,1963,1222,1031,3423,2024,1830,1522,5153,850,2201,3174,2032
CDK13,2578,2599,1927,4088,2970,3480,1606,4119,826,1535,3350,2555
CDK14,3802,4472,2424,3942,3802,3868,4309,10178,1596,2009,6423,5687
CDK15,15,119,78,12,4,131,0,0,0,0,0,0
CDK16,4831,5771,5416,14628,6570,7004,2844,7263,1885,4062,4632,3491
CDK17,2659,3437,1261,2508,2333,2331,2118,5378,1070,2003,3929,3028
CDK18,6,10,30,96,4,9,11,63,80,113,29,62
CDK19,1961,2167,1529,3398,2327,2612,740,1721,500,809,1627,1409
CDK2,2687,3764,1847,5945,2637,2600,996,1474,421,859,934,850
CDK20,228,278,402,1225,307,401,307,439,229,500,304,336
CDK2AP1,6147,6322,5001,14231,6724,7617,2396,7220,2510,3929,3276,3974
CDK2AP2,780,597,898,2589,822,923,638,1748,583,1244,694,704
CDK2AP2P1,0,0,1,3,0,0,0,0,0,0,1,0
CDK2AP2P2,2,0,5,4,1,3,0,2,0,0,1,0
CDK2AP2P3,0,0,0,1,0,0,0,0,0,0,0,0
CDK3,62,35,152,171,80,74,48,80,50,94,0,76
CDK4,4667,4722,4547,14896,4247,4310,1506,3748,1141,2297,1168,1960
CDK4P1,0,0,0,0,0,0,0,0,0,0,0,0
CDK5,981,919,1408,3659,1124,1167,413,970,444,697,585,649
CDK5P1,0,0,0,0,0,0,0,0,0,0,0,0
CDK5R1,130,166,119,493,158,192,88,224,66,136,98,132
CDK5R2,0,0,0,0,0,0,0,0,0,0,2,4
CDK5RAP1,1177,1061,706,2629,923,1084,530,1483,454,901,873,836
CDK5RAP2,5339,5463,3921,12553,4752,5674,3357,7085,2841,6794,4510,4787
CDK5RAP3,2118,2012,2570,8331,2324,2696,764,2106,1057,1396,1492,577
CDK6,2365,2898,1722,4148,2657,3362,2983,8938,1143,2485,7359,5383
CDK7,1390,1501,1645,3943,1392,1667,1309,2944,1217,1782,2074,1733
CDK7P1,4,0,5,11,4,0,1,4,3,2,0,2
CDK8,538,733,555,1543,722,744,430,1511,276,729,1001,863
CDK8P2,0,0,0,2,0,0,0,0,0,0,0,0
CDK9,3068,3113,2964,8412,2760,3034,2250,5699,1717,3390,2484,2631
CDKAL1,713,634,358,1108,631,638,329,799,184,331,450,506
CDKL1,118,100,63,161,97,139,40,107,31,52,54,67
CDKL2,10,0,4,8,0,3,4,0,2,0,0,0
CDKL3,62,68,92,302,96,108,25,55,26,51,75,57
CDKL4,0,0,0,3,0,0,0,0,0,0,0,6
CDKL5,583,200,189,976,549,750,140,1342,152,215,1004,817
CDKN1A,8609,8756,20810,35264,9191,12684,8557,22558,10428,18618,8088,10186
CDKN1B,2153,2023,2092,4772,2733,2841,1209,3110,1003,2187,2451,2343
CDKN1C,32,19,46,95,66,39,0,21,29,27,10,27
CDKN2A,546,233,689,1626,614,517,135,185,294,246,210,223
CDKN2A-DT,2,0,2,8,2,0,0,0,0,3,0,0
CDKN2AIP,281,586,234,564,202,327,738,419,211,470,598,217
CDKN2AIPNL,1686,1590,1459,4511,1586,1895,455,1083,289,638,584,602
CDKN2AIPNLP1,0,0,0,0,0,0,0,0,0,0,0,0
CDKN2AIPNLP2,0,0,0,0,0,0,0,0,0,0,0,0
CDKN2AIPNLP3,0,0,0,0,0,0,0,0,0,0,0,0
CDKN2B,200,237,816,1375,509,533,53,141,91,157,120,138
CDKN2B-AS1,48,33,52,187,73,73,11,35,24,27,26,34
CDKN2C,4790,3669,2971,7837,4209,4436,287,607,150,345,333,525
CDKN2D,2054,1549,1575,5278,1562,1809,284,730,310,430,341,359
CDKN3,2494,1673,1125,4267,1629,1848,123,331,49,104,264,130
CDNF,37,33,32,87,40,34,12,26,0,10,15,18
CDO1,240,204,353,1202,414,492,71,170,148,226,120,174
CDON,770,564,480,2275,1102,1227,0,158,8,157,147,446
CDPF1,290,267,416,1199,311,325,101,271,111,191,141,202
CDR1,0,0,0,0,0,0,0,0,0,0,0,0
CDR2,2470,2304,2589,6328,2694,3094,1557,3687,1128,2174,2521,2220
CDR2L,2076,2160,1518,3228,1874,2418,803,2439,826,1154,1139,983
CDRT1,2,2,0,49,15,21,3,2,0,2,1,15
CDRT15,3,3,0,0,5,5,0,2,0,0,0,5
CDRT15L2,0,0,0,0,0,0,0,0,0,0,0,0
CDRT15P1,1,5,6,7,8,8,0,5,1,1,0,1
CDRT15P2,0,0,0,0,0,0,0,0,0,0,0,0
CDRT4,142,211,14,17,307,266,528,353,49,46,716,92
CDRT7,0,0,0,0,0,0,0,0,0,0,0,0
CDRT8,0,0,0,0,0,0,0,0,0,0,0,0
CDS1,27,6,31,124,33,38,0,16,0,10,6,12
CDS2,2411,2425,1727,4923,2354,2740,1656,4584,1091,2032,2248,2218
CDSN,0,0,0,0,0,0,0,0,0,0,0,0
CDT1,1842,1505,972,2990,1151,1374,331,834,62,267,265,280
CDV3,3261,6096,2215,4990,3928,9452,3820,7070,1613,3500,14873,11481
CDV3P1,0,0,0,0,0,0,0,0,0,0,0,0
CDX1,0,0,0,17,0,0,4,0,0,4,0,3
CDX2,0,0,0,0,0,0,0,0,0,0,0,0
CDX4,0,0,0,0,0,0,0,0,0,0,0,0
CDY1,0,0,0,0,0,0,0,0,0,0,0,0
CDY10P,0,0,0,0,0,0,0,0,0,0,0,0
CDY11P,0,0,0,0,0,0,0,0,0,0,0,0
CDY12P,0,0,0,0,0,0,0,0,0,0,0,0
CDY13P,0,0,0,0,0,0,0,0,0,0,0,0
CDY14P,0,0,0,0,0,0,0,0,0,0,0,0
CDY15P,0,0,0,0,0,0,0,0,0,0,0,0
CDY17P,0,0,0,0,0,0,0,0,0,0,0,0
CDY18P,0,0,0,0,0,0,0,0,0,0,0,0
CDY19P,0,0,0,0,0,0,0,0,0,0,0,0
CDY1B,0,0,0,0,0,0,0,0,0,0,0,0
CDY20P,0,0,0,0,0,0,0,0,0,0,0,0
CDY22P,0,0,0,0,0,0,0,0,0,0,0,0
CDY23P,0,0,0,0,0,0,0,0,0,0,0,0
CDY2A,0,0,0,0,0,0,0,0,0,0,0,0
CDY2B,0,0,0,0,0,0,0,0,0,0,0,0
CDY3P,0,0,0,0,0,0,0,0,0,0,0,0
CDY4P,0,0,0,0,0,0,0,0,0,0,0,0
CDY5P,0,0,0,0,0,0,0,0,0,0,0,0
CDY6P,0,0,0,0,0,0,0,0,0,0,0,0
CDY7P,0,0,0,0,0,0,0,0,0,0,0,0
CDY8P,0,0,0,0,0,0,0,0,0,0,0,0
CDY9P,0,0,0,0,0,0,0,0,0,0,0,0
CDYL,1120,1229,929,705,1030,395,498,435,292,566,886,227
CDYL2,1738,1937,923,1931,1414,1515,1406,3746,763,1199,2097,1435
CDYLP1,0,0,0,0,0,0,2,6,0,6,5,7
CEACAM1,2,0,2,0,0,0,100,223,279,274,310,218
CEACAM16,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM18,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM19,99,90,88,296,82,85,134,355,66,185,154,211
CEACAM20,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM21,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM22P,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM3,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM4,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM5,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM6,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM8,0,0,0,0,0,0,0,1,0,1,0,0
CEACAMP1,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP10,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP11,0,0,0,0,1,0,0,0,0,0,0,0
CEACAMP2,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP3,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP4,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP5,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP6,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP7,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP8,0,0,0,0,0,0,0,0,0,0,0,0
CEACAMP9,0,0,0,0,0,0,0,0,0,0,0,0
CEBPA,441,1107,404,2319,9,169,270,603,108,464,181,435
CEBPA-DT,63,51,50,169,36,82,6,22,4,15,10,5
CEBPB,1752,762,1999,5031,1770,2054,4124,11184,3382,7769,7811,8691
CEBPB-AS1,30,31,19,66,23,30,4,14,6,4,4,12
CEBPD,664,273,1361,2268,1025,1299,126,2867,1511,3474,3507,3452
CEBPE,4,0,0,0,2,0,0,0,16,18,0,2
CEBPG,2650,2803,1380,4625,2033,2461,1874,5047,1213,2435,2529,2497
CEBPZ,4041,4122,2948,8516,4297,5131,2212,5597,1193,2831,5232,4154
CEBPZOS,1089,948,829,1628,575,882,699,694,202,304,344,660
CECR2,0,0,0,0,0,0,0,0,0,0,0,0
CECR3,0,0,0,0,0,0,0,0,0,0,0,0
CECR7,344,362,165,544,244,223,163,487,17,124,137,141
CECR9,0,0,0,0,0,0,0,0,0,0,0,0
CEL,18,16,23,82,12,41,0,6,6,17,12,20
CELA1,0,0,0,0,0,0,0,0,0,0,0,0
CELA2A,0,0,0,0,0,0,0,0,0,0,0,0
CELA2B,0,0,0,0,0,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0,0,0,0,0,0
CELA3B,0,0,0,0,0,0,0,0,0,0,0,0
CELF1,2654,4151,2479,7223,4469,5187,2786,7510,1196,3064,3968,3856
CELF2,54,85,21,113,35,36,32,62,22,16,38,7
CELF2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CELF2-AS2,0,0,0,0,0,0,0,0,0,0,0,0
CELF3,0,0,0,0,0,0,0,0,0,0,0,0
CELF4,0,2,0,0,0,0,0,0,0,0,0,0
CELF5,0,0,0,0,0,0,0,0,0,2,4,4
CELF6,2,0,0,3,0,0,0,1,0,0,0,0
CELP,4,0,4,27,5,6,0,0,0,7,0,3
CELSR1,62,90,333,480,164,159,25,78,53,93,127,76
CELSR2,332,245,500,1322,452,545,52,96,35,85,99,125
CELSR3,97,113,164,349,108,149,142,245,68,212,150,187
CEMIP,1240,1015,11494,9513,6574,7429,477,819,3321,3961,2210,3040
CEMIP2,3977,4479,3906,5896,4281,4143,4585,13225,2515,3290,7930,5442
CEMP1,0,0,78,88,19,4,0,0,44,13,0,10
CEND1,99,76,264,310,141,166,28,150,60,76,95,122
CEND1P1,0,0,0,0,0,0,0,0,0,0,0,0
CENPA,1001,785,668,1891,723,773,46,121,22,44,64,71
CENPB,9571,8275,7079,19051,7723,7816,3945,9847,2469,5172,4405,5116
CENPBD1,123,680,814,516,836,158,440,278,374,695,648,99
CENPBD1P1,614,510,870,4293,2127,997,1143,1152,1191,534,1493,1423
CENPC,953,991,516,1532,893,1161,428,1069,232,437,628,614
CENPCP1,0,4,0,3,3,7,0,2,0,0,0,1
CENPE,3872,83,280,5028,3230,6217,116,95,88,276,264,560
CENPF,17335,17456,6255,15499,13177,16238,694,1505,88,293,1135,944
CENPH,1090,1223,464,1855,1008,1179,135,381,26,104,201,194
CENPI,361,306,262,299,239,234,34,19,0,9,0,27
CENPIP1,0,0,0,0,0,0,0,0,0,0,0,0
CENPJ,1855,1943,1012,3491,1561,1897,306,698,122,259,632,481
CENPK,1468,1626,901,2720,1268,1628,301,546,94,215,270,323
CENPL,582,584,509,937,451,468,158,314,90,218,150,126
CENPM,782,916,534,1816,472,736,79,145,35,94,42,84
CENPN,1181,1161,539,1891,819,955,434,850,155,300,399,401
CENPO,2049,4469,3034,1389,1672,779,408,2157,460,1037,974,891
CENPP,1057,965,668,1885,969,977,175,514,131,252,320,296
CENPQ,548,947,358,1286,735,711,229,299,123,195,318,301
CENPS,345,277,202,762,508,524,123,203,153,111,308,137
CENPS-CORT,75,43,44,116,58,83,40,12,0,34,50,0
CENPT,2096,1816,2178,4521,1549,1882,801,2243,758,1334,995,1123
CENPU,4962,3934,1896,6520,3473,3777,565,1264,130,401,835,756
CENPUP1,0,0,0,0,0,0,0,0,0,0,0,0
CENPUP2,0,0,0,0,0,0,0,0,0,0,0,0
CENPV,377,550,563,964,336,349,48,233,70,107,93,117
CENPVL1,0,0,1,0,0,0,0,0,0,0,0,0
CENPVL2,1,0,1,0,0,1,0,1,0,0,0,0
CENPVL3,1,2,0,0,0,1,2,2,0,0,0,0
CENPW,2094,1924,1016,4297,1256,1344,254,613,121,254,244,268
CENPX,807,640,934,3190,563,675,416,961,361,917,299,328
CEP104,1758,1850,1739,4377,2138,2550,1048,2823,651,1382,2377,1990
CEP112,563,582,527,1114,780,920,279,533,167,172,478,370
CEP120,1850,1993,1097,2710,1672,1967,754,1989,408,665,1055,1158
CEP126,413,404,437,1509,727,1038,161,428,82,276,417,444
CEP128,915,949,437,1344,899,1095,36,164,25,57,150,112
CEP131,918,836,777,2054,944,963,256,635,112,289,349,317
CEP135,1284,1393,576,1420,1184,1559,672,1941,400,797,1797,1354
CEP152,1156,1238,732,2301,1135,1446,227,451,102,243,414,380
CEP162,617,621,443,1126,638,942,172,419,185,238,617,537
CEP164,410,405,1072,2681,769,370,208,226,71,88,99,323
CEP164P1,0,5,0,19,10,17,7,9,5,2,6,16
CEP170,6236,8535,3718,2746,2828,2635,3213,2605,981,1657,1834,5133
CEP170B,865,46,753,988,161,379,466,410,261,287,261,515
CEP170P1,903,1028,510,636,1281,1201,333,3479,494,172,0,1181
CEP19,204,174,325,1072,375,410,65,191,88,152,270,191
CEP192,3112,3294,2011,4398,2666,3444,744,1943,559,1053,1513,1423
CEP250,1143,1822,1621,2560,1484,2538,260,904,297,509,1287,802
CEP290,1807,2090,1159,3020,2101,2501,953,2705,449,916,2430,1736
CEP295,400,301,267,588,285,798,104,217,186,333,256,341
CEP295NL,24,22,41,71,38,33,9,26,14,14,28,17
CEP350,131,3027,350,186,1920,276,490,876,825,995,3338,666
CEP41,1501,1415,1330,3032,1459,1218,257,597,225,328,460,484
CEP44,348,417,330,820,710,832,171,256,81,151,131,96
CEP55,7597,7776,3462,11710,6647,8033,417,966,114,395,713,616
CEP57,1649,1232,1336,3870,1367,1567,456,979,421,522,1017,783
CEP57L1,856,820,496,1649,1031,1210,339,806,319,520,1117,516
CEP57L1P1,4,3,3,5,2,2,3,4,1,4,1,3
CEP63,1503,1422,1244,3487,1774,2136,648,1796,429,969,1666,1109
CEP68,100,494,159,1166,933,839,69,161,49,55,30,41
CEP70,890,946,634,2166,1087,1249,224,563,169,384,595,455
